"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"7000000US22103000418","418, St. Tammany Parish, Louisiana","466","445","21"
"7000000US22103000419","419, St. Tammany Parish, Louisiana","464","447","17"
"7000000US22103000420","420, St. Tammany Parish, Louisiana","575","549","26"
"7000000US22103000421","421, St. Tammany Parish, Louisiana","451","443","8"
"7000000US22103000422","422, St. Tammany Parish, Louisiana","377","363","14"
"7000000US22103000426","426, St. Tammany Parish, Louisiana","444","440","4"
"7000000US22103000427","427, St. Tammany Parish, Louisiana","336","323","13"
"7000000US22103000429","429, St. Tammany Parish, Louisiana","549","518","31"
"7000000US22103000430","430, St. Tammany Parish, Louisiana","687","646","41"
"7000000US22103000501","501, St. Tammany Parish, Louisiana","331","266","65"
"7000000US22103000502","502, St. Tammany Parish, Louisiana","772","705","67"
"7000000US22103000503","503, St. Tammany Parish, Louisiana","639","583","56"
"7000000US22103000504","504, St. Tammany Parish, Louisiana","480","436","44"
"7000000US22103000505","505, St. Tammany Parish, Louisiana","713","665","48"
"7000000US22103000601","601, St. Tammany Parish, Louisiana","481","443","38"
"7000000US22103000602","602, St. Tammany Parish, Louisiana","600","503","97"
"7000000US22103000603","603, St. Tammany Parish, Louisiana","646","585","61"
"7000000US22103000604","604, St. Tammany Parish, Louisiana","521","474","47"
"7000000US22103000605","605, St. Tammany Parish, Louisiana","263","240","23"
"7000000US22103000606","606, St. Tammany Parish, Louisiana","668","604","64"
"7000000US22103000609","609, St. Tammany Parish, Louisiana","35","33","2"
"7000000US22103000701","701, St. Tammany Parish, Louisiana","818","768","50"
"7000000US22103000702","702, St. Tammany Parish, Louisiana","610","557","53"
"7000000US22103000703","703, St. Tammany Parish, Louisiana","593","496","97"
"7000000US22103000704","704, St. Tammany Parish, Louisiana","664","569","95"
"7000000US22103000705","705, St. Tammany Parish, Louisiana","416","373","43"
"7000000US22103000706","706, St. Tammany Parish, Louisiana","714","685","29"
"7000000US22103000801","801, St. Tammany Parish, Louisiana","876","824","52"
"7000000US22103000802","802, St. Tammany Parish, Louisiana","1122","1061","61"
"7000000US22103000803","803, St. Tammany Parish, Louisiana","1164","1116","48"
"7000000US22103000804","804, St. Tammany Parish, Louisiana","921","862","59"
"7000000US22103000805","805, St. Tammany Parish, Louisiana","791","757","34"
"7000000US22103000806","806, St. Tammany Parish, Louisiana","708","694","14"
"7000000US22103000807","807, St. Tammany Parish, Louisiana","610","586","24"
"7000000US22103000808","808, St. Tammany Parish, Louisiana","451","435","16"
"7000000US22103000809","809, St. Tammany Parish, Louisiana","532","503","29"
"7000000US22103000810","810, St. Tammany Parish, Louisiana","438","407","31"
"7000000US22103000811","811, St. Tammany Parish, Louisiana","843","809","34"
"7000000US22103000812","812, St. Tammany Parish, Louisiana","631","619","12"
"7000000US22103000813","813, St. Tammany Parish, Louisiana","468","436","32"
"7000000US22103000814","814, St. Tammany Parish, Louisiana","729","681","48"
"7000000US22103000815","815, St. Tammany Parish, Louisiana","535","467","68"
"7000000US22103000816","816, St. Tammany Parish, Louisiana","264","245","19"
"7000000US22103000817","817, St. Tammany Parish, Louisiana","796","773","23"
"7000000US22103000818","818, St. Tammany Parish, Louisiana","500","469","31"
"7000000US22103000901","901, St. Tammany Parish, Louisiana","829","791","38"
"7000000US22103000902","902, St. Tammany Parish, Louisiana","519","467","52"
"7000000US22103000903","903, St. Tammany Parish, Louisiana","894","817","77"
"7000000US22103000904","904, St. Tammany Parish, Louisiana","867","823","44"
"7000000US22103000905","905, St. Tammany Parish, Louisiana","998","938","60"
"7000000US22103000906","906, St. Tammany Parish, Louisiana","572","512","60"
"7000000US22103000907","907, St. Tammany Parish, Louisiana","275","263","12"
"7000000US22103000909","909, St. Tammany Parish, Louisiana","1937","1616","321"
"7000000US22103000910","910, St. Tammany Parish, Louisiana","1324","1251","73"
"7000000US22103000911","911, St. Tammany Parish, Louisiana","1071","984","87"
"7000000US22103000912","912, St. Tammany Parish, Louisiana","172","159","13"
"7000000US22103000913","913, St. Tammany Parish, Louisiana","780","748","32"
"7000000US22103000914","914, St. Tammany Parish, Louisiana","494","455","39"
"7000000US22103000915","915, St. Tammany Parish, Louisiana","1113","1062","51"
"7000000US22103000916","916, St. Tammany Parish, Louisiana","265","238","27"
"7000000US22103000917","917, St. Tammany Parish, Louisiana","251","238","13"
"7000000US22103000918","918, St. Tammany Parish, Louisiana","501","403","98"
"7000000US22103000921","921, St. Tammany Parish, Louisiana","668","633","35"
"7000000US22103000922","922, St. Tammany Parish, Louisiana","665","567","98"
"7000000US22103000A01","A01, St. Tammany Parish, Louisiana","576","538","38"
"7000000US22103000A02","A02, St. Tammany Parish, Louisiana","1066","990","76"
"7000000US22103000A03","A03, St. Tammany Parish, Louisiana","293","274","19"
"7000000US22103000A04","A04, St. Tammany Parish, Louisiana","349","319","30"
"7000000US22103000C01","C01, St. Tammany Parish, Louisiana","462","439","23"
"7000000US22103000C02","C02, St. Tammany Parish, Louisiana","436","402","34"
"7000000US22103000C03","C03, St. Tammany Parish, Louisiana","696","656","40"
"7000000US22103000C04","C04, St. Tammany Parish, Louisiana","471","442","29"
"7000000US22103000C05","C05, St. Tammany Parish, Louisiana","433","353","80"
"7000000US22103000C06","C06, St. Tammany Parish, Louisiana","839","790","49"
"7000000US22103000C07","C07, St. Tammany Parish, Louisiana","236","194","42"
"7000000US22103000C08","C08, St. Tammany Parish, Louisiana","415","364","51"
"7000000US22103000C09","C09, St. Tammany Parish, Louisiana","842","789","53"
"7000000US22103000C10","C10, St. Tammany Parish, Louisiana","149","119","30"
"7000000US22103000C11","C11, St. Tammany Parish, Louisiana","952","851","101"
"7000000US22103000F01","F01, St. Tammany Parish, Louisiana","589","514","75"
"7000000US22103000M01","M01, St. Tammany Parish, Louisiana","389","364","25"
"7000000US22103000M02","M02, St. Tammany Parish, Louisiana","610","551","59"
"7000000US22103000M03","M03, St. Tammany Parish, Louisiana","455","410","45"
"7000000US22103000M04","M04, St. Tammany Parish, Louisiana","612","549","63"
"7000000US22103000M05","M05, St. Tammany Parish, Louisiana","519","478","41"
"7000000US22103000M06","M06, St. Tammany Parish, Louisiana","884","823","61"
