"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"620L200US22089","State House District 89 (2010), Louisiana","19041","513","90.7","1.1","5.5","1.0","0.4","0.3","1.4","0.6","0.0","0.2","1.7","0.6","0.3","0.2","4.9","1.1","87.3","1.3","2.3","0.9","34.3","1.9","43.4","1.9","20.0","1.5","14118","495","48.9","2.5","51.1","2.5","80.0","2.6","13.8","2.4","6.2","1.5","4923","465","56.7","5.7","49.9","5.5","6.8","2.2","43.3","5.7","34.3","5.5","9.1","2.7","27.8","(X)","27.7","(X)","28.0","(X)","72166","3424","77552","4644","36124","1785","53750","40885","89297","13223","-","**","51146","26216","39722","30092","62763","17538","77773","4469","30911","18195","79248","4785","89074","4198","41787","3569","83209","3055","88883","6778","79334","3727","94057","4810","36296","6885","44961","17653","35883","3800","29075","4137","26357","5941","73250","42916","44974","10943","40572","8501","57000","20722","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22090","State House District 90 (2010), Louisiana","17330","610","79.8","1.7","15.5","1.7","0.5","0.4","0.9","0.5","0.1","0.1","1.6","0.8","1.7","0.6","4.5","0.9","77.3","1.7","3.6","1.1","34.2","2.1","42.5","2.0","19.7","1.4","12341","527","43.1","2.6","56.9","2.6","74.0","2.9","17.3","2.5","8.7","2.2","4989","466","51.0","4.9","40.2","5.0","10.8","3.6","49.0","4.9","40.5","5.7","8.5","2.9","28.3","(X)","24.8","(X)","32.3","(X)","54086","2962","55750","4134","48173","5376","31667","91821","71000","24897","19643","145113","54097","38449","26989","16898","51111","20677","55964","4323","38977","12160","59722","5850","62446","4196","33558","3589","63047","3191","59350","7188","66790","3778","75315","4470","32480","3609","47449","9877","33018","3185","27045","4856","21774","3670","41712","13326","43411","5395","39262","6071","69219","12838","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22091","State House District 91 (2010), Louisiana","13152","508","49.7","2.5","45.2","2.5","0.6","0.5","1.3","0.6","0.4","0.5","1.0","0.6","1.9","0.8","5.6","1.3","46.5","2.3","7.5","2.0","38.3","2.7","37.2","2.4","17.0","1.4","5676","343","37.9","4.0","62.1","4.0","53.8","4.2","36.8","4.4","9.5","2.4","7476","487","51.1","3.4","41.4","3.3","9.7","1.8","48.9","3.4","39.3","3.4","9.6","2.1","26.5","(X)","30.8","(X)","22.7","(X)","38779","3041","57205","3641","21624","2523","14444","44782","64028","47851","-","**","85938","49775","52917","19004","40893","14682","58587","3900","28846","7513","47320","7100","40104","8903","23431","2275","55748","5324","45410","12002","59732","5073","84957","11241","22282","2621","34549","21786","29686","3220","29618","4916","23170","3862","56364","10379","29722","4229","25668","6031","41210","29801","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22092","State House District 92 (2010), Louisiana","14097","507","57.5","2.4","34.8","2.4","0.8","0.5","1.2","0.5","0.0","0.2","4.7","1.4","1.0","0.5","15.8","1.8","47.3","2.2","3.1","1.0","32.0","2.3","43.2","2.3","21.7","1.7","9655","403","40.3","2.7","59.7","2.7","61.1","3.0","28.4","2.8","10.5","2.0","4442","354","53.1","4.9","48.4","5.2","4.7","2.3","46.9","4.9","39.7","4.6","7.3","2.9","30.4","(X)","35.4","(X)","18.9","(X)","42037","1943","47810","2707","30322","3695","34079","31812","46809","6424","-","**","49790","19189","22386","57779","46297","5351","49323","2726","20669","6415","43777","3208","50179","3540","28306","4908","49317","2700","43981","3319","53229","5526","62207","7147","28966","3278","41058","12342","22608","3998","17982","2415","17201","2498","20994","2593","31274","3393","26321","9542","43818","6027","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22093","State House District 93 (2010), Louisiana","13384","542","52.1","2.2","41.4","2.3","0.9","0.6","1.6","0.7","0.0","0.3","1.8","1.0","2.4","1.1","4.8","1.2","48.8","2.2","5.7","1.5","39.6","2.5","37.9","2.9","16.8","1.9","5016","412","33.5","4.4","66.5","4.4","56.4","4.2","35.1","4.3","8.5","2.6","8368","454","43.7","3.6","36.9","3.1","6.8","2.0","56.3","3.6","45.8","3.7","10.5","2.2","29.7","(X)","37.8","(X)","24.7","(X)","33707","4778","52988","4216","20231","2016","15000","29439","68409","98350","-","**","40984","8906","40766","24892","25938","5759","53580","3817","18100","11825","37042","4892","37621","7727","28894","6544","42500","6817","26476","5002","55131","7044","72573","8127","16884","5042","22266","11775","28439","3127","22367","4379","18536","2947","49896","17484","32691","8868","30520","4047","44890","12625","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22094","State House District 94 (2010), Louisiana","11185","481","81.2","2.3","13.4","2.1","0.3","0.3","1.1","0.6","0.2","0.3","2.2","1.1","1.6","0.9","7.6","1.7","76.5","2.4","3.9","1.3","39.3","2.8","39.5","2.6","17.3","1.8","6007","408","44.5","3.3","55.5","3.3","75.5","3.4","15.0","2.9","9.5","2.3","5178","431","48.3","4.7","37.7","4.4","10.6","3.0","51.7","4.7","38.4","4.4","13.3","2.9","26.8","(X)","29.3","(X)","23.6","(X)","58550","4588","65998","5671","32300","11979","220563","284027","89830","213465","2,500-","***","21685","12646","60871","41474","34236","7882","69466","5779","16833","13306","57871","6854","72939","8065","44227","6491","82927","5634","84815","10871","82150","10908","96462","6745","31566","3190","59375","19763","40882","4575","36788","2653","35455","2831","73274","31008","45269","6401","39219","9806","74529","14171","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22095","State House District 95 (2010), Louisiana","11718","463","47.6","2.7","48.3","2.7","0.3","0.3","1.8","1.0","0.0","0.3","1.5","0.9","0.5","0.5","5.1","1.4","43.7","2.4","10.8","2.0","34.3","2.8","35.8","2.6","19.2","1.8","6171","463","41.9","4.3","58.1","4.3","52.6","4.1","37.6","4.7","9.8","2.7","5547","452","57.0","4.2","44.3","3.9","12.7","2.2","43.0","4.2","27.3","4.0","15.7","3.3","37.3","(X)","39.6","(X)","34.0","(X)","34588","3594","58052","4453","22597","1667","100063","106906","93045","55962","-","**","45086","40089","11389","10873","54250","8903","58659","5988","14961","4170","39183","6759","44106","5600","27730","3966","43811","5604","30463","5874","52655","8844","79735","8540","20621","3425","37330","15291","27022","5587","23728","2586","22255","3019","39110","6506","33811","5473","28000","5763","50205","9466","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22096","State House District 96 (2010), Louisiana","9830","450","35.8","2.5","61.8","2.4","0.4","0.4","1.2","1.0","0.0","0.4","0.1","0.1","0.9","0.7","5.1","1.4","32.1","2.5","3.4","1.3","34.3","3.2","40.5","3.1","21.9","2.3","4968","363","38.3","5.2","61.7","5.2","49.5","4.9","42.5","5.0","8.0","2.4","4862","355","50.4","4.5","44.4","4.3","6.0","2.3","49.6","4.5","41.2","4.2","8.4","2.4","34.7","(X)","42.8","(X)","25.9","(X)","29606","2245","51854","3821","24922","2867","15769","1692","28333","33966","-","**","-","**","37050","88423","24635","17142","53227","3281","22500","14786","30297","3914","44104","9172","19656","4615","38239","4939","26979","8087","49861","6418","54301","8762","19667","8070","35313","34152","25284","2665","19395","5542","16701","3369","63000","17608","28887","4784","25944","2916","82625","42987","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22097","State House District 97 (2010), Louisiana","7743","485","16.9","2.6","79.9","2.9","0.2","0.4","0.7","0.5","0.0","0.5","0.7","0.5","1.5","0.8","2.7","1.0","16.5","2.6","4.8","2.1","27.4","3.6","45.4","3.6","22.4","2.5","4762","369","38.6","4.0","61.4","4.0","43.3","5.0","45.3","4.4","11.4","4.0","2981","368","41.4","6.0","39.9","6.3","1.5","1.5","58.6","6.0","50.9","6.3","7.8","3.4","35.5","(X)","39.9","(X)","26.1","(X)","34182","3031","41019","3224","32004","3102","16827","399251","17188","19291","-","**","2,500-","***","44091","31883","41111","10279","40942","4229","25305","12333","38438","8765","38283","3228","26377","2889","36514","3676","30545","7595","38851","5188","54230","5951","25086","4574","38229","17517","25784","7761","18068","10013","19659","9213","6897","45171","31859","10965","24923","12327","70833","22953","(X)","(X)","(X)","(X)","(X)","(X)"
"620L200US22098","State House District 98 (2010), Louisiana","8637","435","55.7","2.8","40.7","2.6","0.0","0.4","1.3","0.7","0.1","0.2","1.2","0.6","1.1","1.2","5.6","1.6","51.3","2.6","7.7","2.1","31.9","3.3","39.9","3.0","20.6","2.4","4354","312","44.4","4.2","55.6","4.2","59.1","4.4","32.3","4.8","8.6","3.0","4283","396","54.3","5.6","46.4","5.8","7.8","2.8","45.7","5.6","36.6","5.5","9.2","2.8","28.0","(X)","34.1","(X)","21.9","(X)","43449","6931","77471","8031","19703","3193","-","**","56111","95314","-","**","39667","30226","6723","69809","60088","22321","79148","7599","25482","9057","53750","13328","50931","10967","31173","8524","71731","10021","61991","15801","78781","10026","112485","12675","27097","5904","48486","13630","21795","3523","20050","4442","16704","4122","52019","35298","26875","7747","20115","5767","76023","53735","(X)","(X)","(X)","(X)","(X)","(X)"
